City,Calendar Year,Quarter,Per Capita Sales,Total Taxable Sales
West Hollywood,2019,3,197.15,7200412
Adelanto,2019,2,121.15,4298735
Alameda County - Unincorporated,2019,2,,9204280
Arcata,2019,2,125.94,2288211
Berkeley,2019,2,93.56,11442450
Calaveras County - Unincorporated,2019,2,,1041207
Cathedral City,2019,2,70.74,3771010
Clearlake,2019,2,134.3,1890869
Costa Mesa,2019,2,0.46,52838
Daly City,2019,2,1.25,137062
Davis,2019,2,52.5,3617665
Desert Hot Springs,2019,2,133.61,4011086
El Dorado County - Unincorporated,2019,2,,3228027
Eureka,2019,2,78.49,2098353
Hesperia,2019,2,7.54,717216
Humboldt County - Unincorporated,2019,2,,2371321
Huntington Beach,2019,2,1.83,366775
Kern County - Unincorporated,2019,2,,983379
Long Beach,2019,2,32.03,15148566
Los Angeles,2019,2,38.43,153191358
Los Angeles County - Unincorporated,2019,2,,1011591
Maywood,2019,2,134,3744750
Mendocino County - Unincorporated,2019,2,,4599382
Monterey County - Unincorporated,2019,2,,3906902
Mount Shasta,2019,2,206.98,705210
Needles,2019,2,372.82,2018084
Oakland,2019,2,75.84,32607351
Palm Desert,2019,2,98.97,5314225
Palm Springs,2019,2,117.33,5563067
Perris,2019,2,47.26,3691510
Port Hueneme,2019,2,374.98,8832376
Sacramento,2019,2,96.79,49120762
Salinas,2019,2,10.87,1746185
San Bernardino,2019,2,17.42,3792662
San Bernardino County - Unincorporated,2019,2,,243886
San Diego,2019,2,35.89,51032730
San Diego County - Unincorporated,2019,2,,2297464
San Francisco,2019,2,71.23,63178126
San Jose,2019,2,45.84,47840488
San Rafael,2019,2,23.21,1386168
Santa Ana,2019,2,83.72,27985068
Santa Cruz,2019,2,63.21,4135232
Santa Cruz County - Unincorporated,2019,2,,10176915
Santa Rosa,2019,2,32.66,5713379
Seaside,2019,2,130.08,4302333
Shasta Lake,2019,2,389.47,4118673
Stanislaus County - Unincorporated,2019,2,,6877306
Undisclosed,2019,2,,89769026
Vallejo,2019,2,76.8,9103530
West Hollywood,2019,2,189.39,6916979
Alameda County - Unincorporated,2019,1,,8276527
Arcata,2019,1,111.44,2024896
Berkeley,2019,1,89.98,11004424
Cathedral City,2019,1,78.4,4179849
Clearlake,2019,1,83.22,1171781
Daly City,2019,1,1.25,137331
Davis,2019,1,37.2,2563331
Desert Hot Springs,2019,1,95.45,2865328
El Dorado County - Unincorporated,2019,1,,2827411
Hesperia,2019,1,6.18,587933
Humboldt County - Unincorporated,2019,1,,1866086
Kern County - Unincorporated,2019,1,,1792007
Long Beach,2019,1,25.1,11871518
Los Angeles,2019,1,32.93,131296026
Los Angeles County - Unincorporated,2019,1,,1021875
Mendocino County - Unincorporated,2019,1,,3780200
Monterey County - Unincorporated,2019,1,,3166049
Mount Shasta,2019,1,169.16,576351
Needles,2019,1,296.84,1606832
Oakland,2019,1,69.66,29949106
Palm Desert,2019,1,60.34,3240120
Palm Springs,2019,1,116.48,5522640
Perris,2019,1,39.55,3089077
Port Hueneme,2019,1,293.64,6916426
Sacramento,2019,1,78.54,39861027
Salinas,2019,1,9.83,1578901
San Bernardino County - Unincorporated,2019,1,,233718
San Diego,2019,1,32.7,46498528
San Diego County - Unincorporated,2019,1,,1974629
San Francisco,2019,1,65.33,57942597
San Jose,2019,1,41.76,43586992
San Rafael,2019,1,18.15,1083809
Santa Ana,2019,1,74.23,24810804
Santa Cruz,2019,1,38.71,2532231
Santa Cruz County - Unincorporated,2019,1,,9518330
Santa Rosa,2019,1,27.79,4860955
Seaside,2019,1,91.92,3040382
Shasta Lake,2019,1,306.27,3238839
Stanislaus County - Unincorporated,2019,1,,8169980
Undisclosed,2019,1,,73744280
Vallejo,2019,1,66.3,7859319
West Hollywood,2019,1,191.19,6982603
Adelanto,2018,4,17.87,632073
Berkeley,2018,4,93.7,11409939
Calaveras County - Unincorporated,2018,4,,1049691
Cathedral City,2018,4,77.07,4096402
Clearlake,2018,4,40.09,576897
Costa Mesa,2018,4,0.42,48110
Davis,2018,4,26.41,1807808
Desert Hot Springs,2018,4,91.1,2716966
El Dorado County - Unincorporated,2018,4,,2949094
Goleta,2018,4,43.88,1381245
Humboldt County - Unincorporated,2018,4,,1727207
Huntington Beach,2018,4,1.1,220336
Kern County - Unincorporated,2018,4,,1959866
Long Beach,2018,4,17.71,8403706
Los Angeles,2018,4,32.23,128808830
Los Angeles County - Unincorporated,2018,4,,904111
Mendocino County - Unincorporated,2018,4,,3991238
Monterey County - Unincorporated,2018,4,,3135536
Mount Shasta,2018,4,180.95,614721
Oakland,2018,4,71.32,30580481
Palm Springs,2018,4,97.5,4607520
Perris,2018,4,29.3,2275447
Port Hueneme,2018,4,245.29,5748976
Riverside,2018,4,0.33,108033
Riverside County - Unincorporated,2018,4,,45642
Sacramento,2018,4,79.43,39786373
Salinas,2018,4,17.37,2776599
San Bernardino County - Unincorporated,2018,4,,288573
San Diego,2018,4,31.06,44013702
San Diego County - Unincorporated,2018,4,,2754562
San Francisco,2018,4,68.65,60808787
San Jose,2018,4,41.66,43575370
Santa Ana,2018,4,77.83,26157954
Santa Barbara County - Unincorporated,2018,4,,333167
Santa Cruz,2018,4,40.63,2655939
Santa Cruz County - Unincorporated,2018,4,,10235716
Santa Rosa,2018,4,27.74,4911897
Stanislaus County - Unincorporated,2018,4,,9070648
Truckee,2018,4,26.69,429769
Undisclosed,2018,4,,80779632
Vallejo,2018,4,62.26,7389791
West Hollywood,2018,4,208.62,7652129
Alameda County - Unincorporated,2018,3,,7508141
Berkeley,2018,3,102.32,12459706
Cathedral City,2018,3,57.97,3081047
Clearlake,2018,3,26.4,379854
Desert Hot Springs,2018,3,77.05,2297965
El Dorado County - Unincorporated,2018,3,,3085940
Humboldt County - Unincorporated,2018,3,,1726295
Kern County - Unincorporated,2018,3,,1998166
Long Beach,2018,3,8.67,4116500
Los Angeles,2018,3,25.94,103677026
Los Angeles County - Unincorporated,2018,3,,860289
Mendocino County - Unincorporated,2018,3,,3607374
Monterey County - Unincorporated,2018,3,,2989924
Mount Shasta,2018,3,203.62,691701
Needles,2018,3,75.51,405428
Oakland,2018,3,61,26156843
Palm Springs,2018,3,70.94,3352532
Perris,2018,3,18.94,1471197
Sacramento,2018,3,72.88,36505859
Salinas,2018,3,10.06,1609260
San Bernardino County - Unincorporated,2018,3,,256696
San Diego,2018,3,28.86,40897209
San Diego County - Unincorporated,2018,3,,1696419
San Francisco,2018,3,66.27,58704891
San Jose,2018,3,39.28,41081421
Santa Ana,2018,3,58.39,19623805
Santa Barbara County - Unincorporated,2018,3,,173206
Santa Cruz,2018,3,43.76,2859990
Santa Cruz County - Unincorporated,2018,3,,8829151
Santa Rosa,2018,3,25.45,4506002
Stanislaus County - Unincorporated,2018,3,,7987540
Truckee,2018,3,29.63,477161
Undisclosed,2018,3,,67751417
Vallejo,2018,3,66.16,7853061
West Hollywood,2018,3,186.15,6828040
Arcata,2018,2,112.43,2044940
Berkeley,2018,2,104.69,12747661
Butte County - Unincorporated,2018,2,,77361
Calaveras County - Unincorporated,2018,2,,1379240
Carpinteria,2018,2,226.09,3038046
Cathedral City,2018,2,76.23,4051785
Costa Mesa,2018,2,0.79,90302
Desert Hot Springs,2018,2,106.98,3190466
El Dorado County - Unincorporated,2018,2,,3376229
Goleta,2018,2,55.37,1743060
Humboldt County - Unincorporated,2018,2,,2252335
Huntington Beach,2018,2,1.32,264707
Kern County - Unincorporated,2018,2,,2187751
Long Beach,2018,2,7.42,3520064
Los Angeles,2018,2,25.95,103713758
Los Angeles County - Unincorporated,2018,2,,684637
Mendocino County - Unincorporated,2018,2,,3608446
Monterey County - Unincorporated,2018,2,,3037251
Mount Shasta,2018,2,293,995349
Needles,2018,2,52.29,280770
Oakland,2018,2,64.64,27714873
Palm Springs,2018,2,94.41,4461319
Perris,2018,2,16.95,1316750
Riverside,2018,2,0.35,114099
Riverside County - Unincorporated,2018,2,,34637
Sacramento,2018,2,84.23,42188582
Salinas,2018,2,12.35,1974546
San Bernardino County - Unincorporated,2018,2,,322638
San Diego,2018,2,33.25,47115555
San Diego County - Unincorporated,2018,2,,2418650
San Francisco,2018,2,68.44,60620495
San Jose,2018,2,39.5,41316436
San Luis Obispo County - Unincorporated,2018,2,,136702
Santa Ana,2018,2,73.37,24658901
Santa Barbara County - Unincorporated,2018,2,,268697
Santa Cruz,2018,2,47.66,3115106
Santa Cruz County - Unincorporated,2018,2,,10072637
Santa Rosa,2018,2,26.46,4684810
Shasta Lake,2018,2,337.05,3510062
Stanislaus County - Unincorporated,2018,2,,8120955
Truckee,2018,2,26.45,425986
Undisclosed,2018,2,,66434497
Vallejo,2018,2,64.81,7692538
West Hollywood,2018,2,245.57,9007346
Berkeley,2018,1,88.84,10818499
Cathedral City,2018,1,35.12,1866987
Desert Hot Springs,2018,1,63.65,1898319
El Dorado County - Unincorporated,2018,1,,1239335
Humboldt County - Unincorporated,2018,1,,459580
Kern County - Unincorporated,2018,1,,1095021
Los Angeles,2018,1,6.77,27074545
Los Angeles County - Unincorporated,2018,1,,37905
Mendocino County - Unincorporated,2018,1,,1940899
Oakland,2018,1,55.63,23851678
Palm Springs,2018,1,61.38,2900435
Sacramento,2018,1,34.45,17259123
San Diego,2018,1,19.06,27010967
San Diego County - Unincorporated,2018,1,,1352265
San Francisco,2018,1,34.78,30809959
San Jose,2018,1,21.17,22141754
Santa Ana,2018,1,29.34,9861268
Santa Cruz County - Unincorporated,2018,1,,6173213
Santa Rosa,2018,1,13.56,2401392
Sonoma County - Unincorporated,2018,1,,855007
Stanislaus County - Unincorporated,2018,1,,11916125
Stockton,2018,1,9.37,2954696
Undisclosed,2018,1,,30617248
Vallejo,2018,1,36.5,4332763
